id,name,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,valence,popularity
4zeqOfeL07KKFiDU8OxCVH,Heart Like A Wheel,1990,0.392,0.587,270173,0.888,0.000911,0.285,-10.847,Mode.MINOR,0.0328,0.635,40
2nLtzopw4rPReszdYBJU6h,Numb,2004,0.0046,0.496,185587,0.863,0.0,0.639,-4.153,Mode.MAJOR,0.0381,0.243,88
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,2011,0.0761,0.858,188453,0.678,0.0,0.0741,-3.87,Mode.MINOR,0.0469,0.922,84
542C7PqR1oEfl63hlhQO4V,The Most Beautiful Girl,1973,0.661,0.576,161907,0.318,7.47e-06,0.167,-14.366,Mode.MAJOR,0.0286,0.41,62
2xRGPubKBTHX6iyrpQvtCy,Wet The Bed (feat. Ludacris),2011,0.0166,0.58,266307,0.66,0.0,0.174,-7.405,Mode.MINOR,0.0429,0.411,69
70FdlOx7tulYnp2IkS6qQw,Ginger Bread,1958,0.398,0.543,125153,0.554,3.83e-05,0.236,-14.174,Mode.MAJOR,0.0372,0.974,17
3YXPyakTFaoVS2ffimogLR,Waterloo,1959,0.482,0.463,146933,0.607,0.0,0.117,-10.714,Mode.MINOR,0.0299,0.964,35
2JzTfNN8k3O6l42DZMj80Q,Rain In My Heart,1969,0.921,0.191,201867,0.232,0.0,0.138,-15.484,Mode.MINOR,0.0318,0.208,58
2bzgKuK3pVez40qUvo8sYr,Heartache Tonight - 2013 Remaster,1979,0.0778,0.81,265678,0.511,0.000226,0.0714,-6.454,Mode.MAJOR,0.0409,0.858,63
7tmxs6OLPktPdNVrJgKWEN,"Face It Girl, It's Over",1968,0.547,0.558,156572,0.459,0.0,0.049,-9.562,Mode.MAJOR,0.0383,0.566,14
0pV63TKpX7Ca7n03X9gvGK,Getting Mighty Crowded,1964,0.884,0.598,138253,0.472,0.000493,0.247,-11.217,Mode.MAJOR,0.0471,0.811,23
59tAS0swoeibMJQzySh6FH,Love Is Like An Itching In My Heart,1966,0.0668,0.715,177133,0.579,0.0,0.0942,-9.866,Mode.MINOR,0.0289,0.806,40
4bVuIlGQBMWS7vIhcx8Ae4,What Hurts The Most,2006,0.0088,0.537,214107,0.674,0.0,0.265,-5.134,Mode.MINOR,0.0277,0.33,71
6hnyQ0YpiO35rutiLLHLmr,Vehicle,1970,0.0871,0.474,178067,0.734,0.00356,0.26,-8.813,Mode.MINOR,0.0426,0.926,55
4jgdKiZhbD6BlVMhCf4NJH,Opportunities (Let's Make Lots of Money) - 2018 Remaster,1986,0.0235,0.656,223667,0.834,0.000256,0.0442,-6.696,Mode.MAJOR,0.0396,0.674,54
4GSiGak8HPbJy1kRlyWx1L,Falling In Love,1981,0.202,0.475,197013,0.466,0.0,0.12,-7.487,Mode.MAJOR,0.0321,0.197,19
3MykNWa65IP2VN1Qa6B9yK,Give Me Back My Hometown,2014,0.506,0.621,252493,0.676,0.0675,0.0825,-7.808,Mode.MAJOR,0.0303,0.482,55
7nl7Xz4RUChb5dj7u7BfEk,My Babe,1967,0.794,0.591,145467,0.513,4.93e-05,0.14,-9.958,Mode.MAJOR,0.0368,0.951,3
0VE4ayVlGs5DBoqOdgJ0Zv,Donna - Single Version,1959,0.864,0.472,150973,0.225,0.0,0.111,-12.581,Mode.MAJOR,0.0263,0.29,61
0mmshvONujbHTPmbchblbk,Heaven (Must Be There),1984,0.102,0.606,222867,0.527,0.000419,0.0664,-15.238,Mode.MAJOR,0.0415,0.674,45
0tiBROmRVHxKAtgI8Hg9Sa,A Dream Goes on Forever,1974,0.114,0.602,145160,0.375,1.86e-06,0.0815,-12.308,Mode.MAJOR,0.0329,0.815,33
2do7t1NMxLTgblFuCvn7H7,Hotel (feat. R.Kelly),2004,0.107,0.679,246933,0.644,0.0,0.107,-6.867,Mode.MAJOR,0.21,0.411,29
2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,2000,0.0407,0.636,192427,0.873,1.27e-06,0.0372,-4.672,Mode.MINOR,0.071,0.908,73
2PWldJzHn86WNueLuH7bV0,I'll Be Alright Without You (2024 Remaster),1986,0.115,0.586,273973,0.74,4.03e-05,0.0702,-6.836,Mode.MAJOR,0.0269,0.532,56
2VYF84ZzEofEYYg0cCxETc,Try A Little Kindness,1969,0.31,0.323,146293,0.666,0.0,0.163,-5.925,Mode.MAJOR,0.0335,0.734,47
1KT3ndndHOGXePgC4o0Jq9,Get Here,1990,0.771,0.28,276733,0.211,0.0,0.125,-16.333,Mode.MAJOR,0.0357,0.223,47
66ekxOOPHF5FgCQpDycB2g,The Homecoming/Jennifer's Song,1976,0.973,0.237,300133,0.0502,0.852,0.159,-24.118,Mode.MAJOR,0.0333,0.138,32
2sGF7DBXvL2GjkbG606m1G,No Judgement,2020,0.0564,0.723,176283,0.726,0.000126,0.057,-3.835,Mode.MINOR,0.0472,0.962,62
4ZC8hXXqu2hPcDLw9QTdtQ,Smile,2009,0.203,0.541,201627,0.812,0.0,0.42,-3.764,Mode.MAJOR,0.0336,0.607,65
5Fy40smNxk0j5OpFMtvfaU,In the Closet,1992,0.117,0.877,390573,0.781,0.000746,0.149,-3.775,Mode.MINOR,0.0691,0.606,63
1guE3vAGquSDNFjnZA7b2h,Don't Touch Me,1969,0.859,0.582,153987,0.28,0.112,0.092,-13.936,Mode.MAJOR,0.0289,0.57,25
1c0QZKXEROc5A9D32EDbHR,Don't Make Me Over,1970,0.435,0.407,232493,0.56,4.09e-05,0.268,-5.793,Mode.MAJOR,0.0285,0.357,14
2FugBtxISbWkPCgEpUT2OQ,Love Is A House,1987,0.302,0.682,312160,0.4,2.07e-05,0.0805,-15.692,Mode.MAJOR,0.0282,0.835,48
2GHCxqFK2xl4b0JRTl3v8s,Paperlate - Platinum Collection Version,1982,0.107,0.617,203493,0.958,0.000146,0.376,-4.495,Mode.MAJOR,0.0615,0.774,32
72MSivvHmzBcpSvcHRyf9b,Back At One,2000,0.174,0.627,246493,0.451,0.0,0.0634,-9.462,Mode.MAJOR,0.0275,0.291,39
3UjH6apk0ogZeIqhHbjrRU,Trans-Europe Express - 2009 Remaster,1978,0.0559,0.878,397373,0.611,0.838,0.0527,-12.221,Mode.MAJOR,0.118,0.718,42
2BOdEwU54cnQhWpAqMUQqg,Painted Moon,1987,0.0705,0.611,365000,0.668,0.486,0.08,-10.164,Mode.MAJOR,0.0318,0.251,33
0JkIre0YxNmKGMU5V7ZiDx,Coward Of The County,1980,0.134,0.652,258733,0.433,7.37e-06,0.146,-12.843,Mode.MAJOR,0.0588,0.675,67
35h5WR17DqnV6sNP2tYtW9,Exodus,1961,0.839,0.584,399427,0.217,0.000956,0.107,-15.429,Mode.MINOR,0.0322,0.492,20
4nOK4ihQRFmLxVJfFGbure,Talk to Me,1985,0.32,0.639,230640,0.745,0.00011,0.059,-9.399,Mode.MINOR,0.0319,0.779,13
3XVrpwQvM6Z5LVb0zxsAjd,Love Walked In,1960,0.879,0.57,132000,0.312,0.0533,0.0447,-14.472,Mode.MAJOR,0.032,0.813,14
2jwaErbghhcia4JqUYWz3g,Days Go By,2004,0.0633,0.589,224630,0.892,0.0,0.149,-3.197,Mode.MAJOR,0.0365,0.76,60
4L3dUSunCaKALC4iVXX4UE,It's Gonna Be a Lovely Day (THE BODYGUARD),1993,0.00525,0.643,287373,0.552,0.636,0.0749,-13.923,Mode.MINOR,0.0503,0.632,0
2LqzuRukwnpeWYLXBtiwmq,Love Will Find A Way,1978,0.00719,0.78,251427,0.491,1.8e-05,0.0677,-13.934,Mode.MAJOR,0.0351,0.843,56
6LERtd1yiclxFH8MHAqr0Q,"Pump Up The Volume - UK 12"" Remix",1988,0.000924,0.765,389067,0.592,0.578,0.0484,-15.634,Mode.MAJOR,0.0631,0.52,49
7piKtR55k2SsnV7I01ncNI,"Hush, Hush, Sweet Charlotte",1965,0.782,0.335,152360,0.163,0.0,0.316,-17.254,Mode.MAJOR,0.031,0.513,27
34KUIBsIUiPV7oCIzSdDAU,Diamonds From Sierra Leone - Remix,2005,0.258,0.672,233400,0.814,0.0,0.164,-3.768,Mode.MAJOR,0.27,0.379,64
39SQnz9u6zd91nZdaPmmJK,Push It,2006,0.227,0.66,208600,0.765,0.0,0.376,-7.121,Mode.MAJOR,0.245,0.771,57
3haZcHm3HydDVxm3je3Zmg,"Help Me, Rhonda - Single Version/Remastered 2001",1965,0.311,0.544,168240,0.748,0.000716,0.0633,-6.243,Mode.MAJOR,0.0298,0.825,54
5SWCtbyzHsp4inwainuEen,Prisoner Of Your Love,1978,0.097,0.577,385843,0.499,6.43e-05,0.0698,-11.421,Mode.MINOR,0.0352,0.657,24
1DEI0amdbd2i5hTs3fXtfs,"I Call Your Name - 12"" Version",1979,0.648,0.519,455200,0.643,0.00144,0.307,-8.268,Mode.MAJOR,0.0795,0.832,45
1SoP2zC2ttcI2zjuRsQ5xx,Don't Think I Can't Love You,2009,0.26,0.435,185107,0.558,0.0,0.245,-5.423,Mode.MAJOR,0.0342,0.203,42
5Q4M16AsBdGZc31KDm0kU8,Tonight,1993,0.0816,0.477,243321,0.607,5.21e-06,0.113,-8.768,Mode.MAJOR,0.0262,0.534,41
48tAdjG4ng2JfECa7OQujk,The Weekend,2017,0.0496,0.511,187760,0.812,1.64e-06,0.0829,-4.763,Mode.MINOR,0.0464,0.692,63
5NUyKKImIbOnezjnaxsdDr,I'll Be By Your Side,1991,0.241,0.575,300413,0.42,0.0,0.0852,-9.909,Mode.MAJOR,0.0278,0.485,7
41i0yDGjtlXKOJQPdBu2Jy,Brooklyn Roads,1968,0.72,0.568,220667,0.426,0.000788,0.339,-13.433,Mode.MAJOR,0.0303,0.569,42
5TzrUONJL0qkk8WDJqEGfj,The Dawn of Correction,1965,0.239,0.41,203000,0.639,0.0,0.573,-10.755,Mode.MAJOR,0.039,0.606,13
6GdqL01aKgClu3DS6qtlro,(Down at) Papa Joe's,1963,0.501,0.402,152315,0.795,0.000242,0.349,-10.709,Mode.MAJOR,0.0781,0.737,1
5uFYYOyT3EclOVhiFzPJSz,Rhythm Is a Dancer,1992,0.214,0.757,332230,0.652,0.257,0.0903,-14.916,Mode.MINOR,0.0333,0.862,72
3gDtrR0W8CmkyS6mweesSS,Angel Eyes - Album Edit,1989,0.355,0.536,280933,0.571,0.0,0.0595,-6.879,Mode.MAJOR,0.0278,0.397,47
4szSZo7vd9rR2fQ8vtznuB,Everybody Monkey,1963,0.292,0.536,170453,0.559,3.19e-06,0.1,-12.077,Mode.MINOR,0.0902,0.833,0
6c3y6o12GgrfZe06v0auew,On The Beach,1960,0.704,0.583,152107,0.309,0.722,0.111,-20.597,Mode.MAJOR,0.0308,0.609,0
6MxMqCgqmekcr0VwSU7AVH,Time,2019,0.138,0.677,240429,0.688,0.0,0.114,-4.058,Mode.MINOR,0.0633,0.198,72
733ncRLzZQT5UtSPg1QmPc,Sober,2009,0.0635,0.614,251533,0.797,0.0,0.187,-4.896,Mode.MAJOR,0.0314,0.374,66
4k6kTLHeSTvtG1vSOGOPEx,Shoot Your Shot,1967,0.0435,0.678,181960,0.668,0.0,0.0924,-8.429,Mode.MINOR,0.0496,0.818,34
4vju55Ag7apDL2CfotuE7Q,Sunny,1966,0.93,0.714,165067,0.338,0.00644,0.389,-10.994,Mode.MINOR,0.0456,0.667,71
12BB5t506Of3s3NPBoKScC,Stay,1960,0.826,0.485,97493,0.755,0.0,0.329,-6.839,Mode.MINOR,0.0705,0.816,65
7k4t7uLgtOxPwTpFmtJNTY,Tusa,2020,0.295,0.803,200960,0.715,0.000134,0.0574,-3.28,Mode.MAJOR,0.298,0.574,77
7dyaRJOrRnfobcE5jxZgZz,Naughty Naughty,1985,0.133,0.576,261720,0.938,2.02e-06,0.971,-4.065,Mode.MAJOR,0.0656,0.635,31
7MJPH9KJ0dCpHFMnDViuiu,Walking In the Rain,1964,0.386,0.5,196867,0.655,0.0,0.0915,-8.313,Mode.MAJOR,0.0308,0.41,33
7HWH4kGaHR3ZwKNFPT4dSW,Puppy Love,1972,0.612,0.414,184973,0.681,7.98e-06,0.248,-3.992,Mode.MAJOR,0.036,0.538,47
3HFGDi2zGIgdXTocV5k2cs,Mighty Mighty,1974,0.0223,0.672,183200,0.814,0.0411,0.15,-10.642,Mode.MINOR,0.032,0.968,40
1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,1982,0.249,0.653,216533,0.677,0.0,0.403,-12.244,Mode.MAJOR,0.0396,0.888,74
1INWPr855fwWdAOeecbu0W,Let's Twist Again,1961,0.0987,0.604,137360,0.709,0.0,0.0551,-6.377,Mode.MAJOR,0.158,0.907,70
0dEQaNYfp5G7Sflek2Qnde,Don't Tell Me,2004,0.00462,0.523,202013,0.795,0.0,0.358,-2.92,Mode.MAJOR,0.0386,0.484,61
5RIVoVdkDLEygELLCniZFr,Watch Me (Whip / Nae Nae),2015,0.247,0.821,185143,0.759,0.0,0.321,-8.541,Mode.MAJOR,0.121,0.962,66
2374M0fQpWi3dLnB54qaLX,Africa,1982,0.257,0.671,295893,0.373,8.01e-05,0.0481,-18.064,Mode.MAJOR,0.0323,0.732,86
1LOZMYF5s8qhW7Rv4w2gun,Dreadlock Holiday,1978,0.541,0.837,267947,0.38,0.00789,0.198,-13.341,Mode.MINOR,0.064,0.892,67
1rqqCSm0Qe4I9rUvWncaom,High Hopes,2019,0.193,0.579,190947,0.904,0.0,0.064,-2.729,Mode.MAJOR,0.0618,0.681,84
1DSJNBNhGZCigg9ll5VeZv,(You Drive Me) Crazy,1999,0.0534,0.748,198067,0.939,0.0,0.32,-4.288,Mode.MINOR,0.0341,0.96,70
0AfIsqZ4gTUg9CwwW2jLeK,Bother,2003,0.388,0.272,240400,0.281,2.29e-05,0.158,-7.634,Mode.MAJOR,0.0287,0.141,65
4rcHWl68ai6KvpXlc8vbnE,Keep on Loving You,1981,0.0519,0.306,200293,0.722,0.0,0.117,-5.963,Mode.MAJOR,0.034,0.41,75
4XKrWQcCNHFIMyxE11OMzl,Fool In Love With You,1981,0.564,0.73,226080,0.515,9.09e-06,0.0465,-9.262,Mode.MINOR,0.0496,0.909,40
2dEgwtRjYl6TJkIwjRwn6z,Heaven,1989,0.115,0.461,236867,0.488,0.0,0.128,-11.143,Mode.MAJOR,0.0287,0.33,62
5Lst1j9rvgyzaCciTQn0v9,Everything's Alright,1964,0.835,0.536,137013,0.468,0.00173,0.218,-15.774,Mode.MAJOR,0.035,0.836,9
2GibUNItz4ThOCLNizYgpR,Trouble in Paradise,1960,0.821,0.399,146440,0.611,0.0,0.193,-6.321,Mode.MAJOR,0.0466,0.891,24
6wKAZB2lwOWeqpwquNHThG,Very Special,1981,0.585,0.54,268173,0.523,0.0,0.0594,-9.358,Mode.MINOR,0.0563,0.556,50
2eq1ZLy9Q1aaB8AjHAMb2m,Special Delivery - Remastered,1969,0.559,0.832,158733,0.434,0.0,0.0285,-13.09,Mode.MAJOR,0.0456,0.962,17
5hhF25sWnZvXhimOHLjTRE,I Feel Fine - Remastered 2015,1965,0.0904,0.564,139347,0.827,3.73e-06,0.127,-7.089,Mode.MAJOR,0.0283,0.912,56
1xE7osYAtzz1PvLoVdOp5E,Change Clothes,2004,0.0412,0.895,258427,0.628,0.0,0.059,-3.79,Mode.MAJOR,0.0473,0.34,51
2dEgwtRjYl6TJkIwjRwn6z,Heaven,1989,0.115,0.461,236867,0.488,0.0,0.128,-11.143,Mode.MAJOR,0.0287,0.33,62
5EL8hqM8YQJHKKnzGdahly,Dreaming Of You,1996,0.325,0.553,314867,0.458,9.71e-05,0.0583,-10.796,Mode.MAJOR,0.0381,0.247,69
1VdZ0vKfR5jneCmWIUAMxK,The A Team,2013,0.669,0.642,258373,0.289,0.0,0.18,-9.918,Mode.MAJOR,0.0367,0.407,76
2dEVFDQ9Z9Gyl73yhoKl65,Look Away - 2009 Remaster,1988,0.385,0.553,242960,0.545,5.36e-06,0.105,-7.278,Mode.MAJOR,0.0261,0.201,54
0rhP8F3BwxmRrdSo4a23Mu,Son Of My Father,1972,0.273,0.617,177867,0.395,0.0128,0.285,-16.834,Mode.MAJOR,0.0354,0.446,33
2O7KD1tW6eyLLSE7ce0ohD,Danny Boy,1959,0.895,0.563,167160,0.451,0.000279,0.0844,-11.865,Mode.MAJOR,0.0697,0.795,17
66X03EIfE1zm99rd4SfL71,100% Pure Love,1995,0.0923,0.811,280467,0.697,0.0144,0.0784,-8.019,Mode.MAJOR,0.0502,0.712,56
4zK1pYVKMB13es6Bim0muF,Run To Me,1972,0.474,0.399,191600,0.322,1.48e-05,0.335,-14.021,Mode.MAJOR,0.037,0.33,59
09huOVRryZNV2deKFZLJDC,Waiting for a Star to Fall,1989,0.145,0.662,270720,0.844,0.00011,0.137,-6.034,Mode.MAJOR,0.027,0.592,64
6Vas6h9lB5mmeVDXdFqlQA,Freak Like Me,1995,0.0262,0.655,253613,0.837,5.85e-06,0.0454,-6.04,Mode.MINOR,0.0723,0.66,61
39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,1983,0.0433,0.691,220627,0.812,1.16e-06,0.299,-7.772,Mode.MAJOR,0.0558,0.685,76
67eX1ovaHyVPUinMHeUtIM,Hurts So Good,1982,0.042,0.785,218960,0.737,0.000107,0.108,-5.306,Mode.MAJOR,0.0363,0.971,73
5c1QJAiC3773EwiZLwHf5x,Again,2001,0.0148,0.55,231667,0.804,4.33e-05,0.105,-5.218,Mode.MAJOR,0.0271,0.789,71
77btuAAez622DcWAqhL2kA,Welcome To The Boomtown,1987,0.515,0.606,331160,0.492,0.000325,0.443,-13.203,Mode.MAJOR,0.041,0.55,43
360ZhWvMnyXKYFG9Mqsm89,Evacuate The Dancefloor - Radio Edit,2009,0.0195,0.76,205884,0.696,0.0,0.278,-5.811,Mode.MAJOR,0.0491,0.903,67
0cqgYxYSTdhEkdiiy3dcQV,Baby I Love You,1970,0.53,0.616,165400,0.419,0.0,0.0757,-13.42,Mode.MAJOR,0.0268,0.773,13
2VxeLyX666F8uXCJ0dZF8B,Shallow,2019,0.371,0.572,215733,0.385,0.0,0.231,-6.362,Mode.MAJOR,0.0308,0.323,86
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,2017,0.695,0.358,211467,0.557,0.0,0.0902,-7.398,Mode.MAJOR,0.059,0.494,89
0M3tyQn0hS1j1X9TGQKUsL,Heart Of The Night,1983,0.347,0.532,248933,0.513,6.44e-06,0.146,-11.419,Mode.MAJOR,0.0274,0.676,23
07fZuhOPreLVpwuLkTCRLH,Jenny Lou,1960,0.629,0.548,153693,0.575,0.0937,0.141,-6.639,Mode.MAJOR,0.0348,0.541,0
7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,1976,0.288,0.392,354320,0.402,0.0,0.243,-9.961,Mode.MINOR,0.0536,0.228,74
6klLvorLoo1sxvZcjJIY8I,Make No Sense,2019,0.0208,0.876,148630,0.733,0.0,0.0999,-4.478,Mode.MINOR,0.333,0.962,77
52jOr9c1lYG6dL4q1AB2zH,Spirit in the Sky,1986,0.0192,0.619,208106,0.545,0.0,0.0676,-10.206,Mode.MINOR,0.042,0.479,52
2Q20X4fKdfYZxMbrqiO1S1,Enamorado,1963,0.262,0.552,117160,0.651,0.0,0.296,-9.464,Mode.MAJOR,0.0322,0.845,2
69ixEGatllReEVQUVpOMxG,Some Of Shelly's Blues - Remastered 2002,1971,0.532,0.618,191890,0.853,0.0894,0.285,-6.845,Mode.MAJOR,0.0315,0.957,21
5c1QJAiC3773EwiZLwHf5x,Again,2001,0.0148,0.55,231667,0.804,4.33e-05,0.105,-5.218,Mode.MAJOR,0.0271,0.789,71
7uABD1Cd6M8SGA75OxeUqB,Elevate My Mind,1991,0.137,0.845,196827,0.591,0.65,0.129,-14.87,Mode.MAJOR,0.0627,0.765,39
6xupOaBWORbDmakCdQwMRG,Little Star,1958,0.762,0.417,160240,0.463,0.0,0.223,-8.027,Mode.MAJOR,0.03,0.627,37
1KGi9sZVMeszgZOWivFpxs,No Scrubs,1999,0.0251,0.743,214400,0.675,0.000717,0.0685,-4.267,Mode.MINOR,0.0953,0.59,84
2v7EtltU7U7WmUovLg4UGh,Twelve Thirty (Young Girls Are Coming To The Canyon),1967,0.297,0.547,208227,0.586,0.0,0.274,-9.853,Mode.MAJOR,0.0282,0.54,27
6uqTETWok9npbL4c9cuLVh,Clean up Woman,1971,0.566,0.865,169533,0.652,0.000919,0.0833,-9.046,Mode.MAJOR,0.143,0.829,58
5RKQ5NdjSh2QzD4MaunT91,Don't Stop Believin' (2022 Remaster),1981,0.132,0.505,249600,0.754,0.0,0.204,-7.435,Mode.MAJOR,0.0366,0.51,85
2gYiCTytrSRtuaHP1Nac6u,Fast,2017,0.2,0.548,206213,0.901,0.0,0.1,-2.637,Mode.MINOR,0.0453,0.557,55
6Sxqtvxg7vPgoBPx4ThFog,5 Miles To Empty,1997,0.0636,0.675,311467,0.549,0.0,0.197,-9.236,Mode.MAJOR,0.0568,0.536,35
4oUmIFmLr63KWNDcxBK7x3,I'll Remember Tonight,1958,0.901,0.311,145547,0.184,9.73e-06,0.312,-14.942,Mode.MAJOR,0.0368,0.348,5
6SvOdNsEfi7EDB0oFtH3YG,Go Away Little Girl,1971,0.72,0.302,150600,0.521,4.74e-06,0.123,-5.391,Mode.MAJOR,0.0354,0.364,38
2DEEMhTiUMvkiHFdXkrKfI,Church Of The Poison Mind - Remastered 2002,1983,0.0899,0.597,212147,0.902,0.0,0.65,-4.246,Mode.MINOR,0.0355,0.96,48
6mIY6O7uNGgVqOoX70UAYh,Have I Told You Lately - 2008 Remaster,1993,0.498,0.523,241507,0.366,0.0,0.094,-14.069,Mode.MAJOR,0.0331,0.291,65
2enprHJA0siL33w7TaN7VH,Pour Me,2001,0.0936,0.484,172000,0.905,0.0,0.286,-3.993,Mode.MAJOR,0.135,0.767,45
2KznT5GjThKWgDGM7yppb4,Let's Get It On,1995,0.00044,0.751,315533,0.696,0.0118,0.302,-8.716,Mode.MINOR,0.201,0.782,21
6Vh03bkEfXqekWp7Y1UBRb,Live While We're Young,2013,0.0542,0.663,200213,0.857,0.0,0.144,-2.16,Mode.MAJOR,0.0544,0.931,75
4t0UsYzmmmZRMTWn77jiGF,Show Me Love,1993,0.014,0.811,252107,0.833,2.06e-05,0.0769,-4.259,Mode.MAJOR,0.153,0.567,73
2pRQeTrtd34PmX2vESvQUl,When You Say Love - Single Version,1972,0.819,0.562,148947,0.353,0.0,0.688,-12.786,Mode.MAJOR,0.0456,0.63,13
7jslhIiELQkgW9IHeYNOWE,Big Rings,2016,0.00196,0.776,217707,0.675,0.0,0.227,-6.224,Mode.MINOR,0.266,0.27,61
0oDvvRy7hFls1rveWR3FUU,Don't Tell Your Mama (Where You've Been),1969,0.0657,0.766,182933,0.594,0.000299,0.107,-8.745,Mode.MAJOR,0.029,0.969,5
1SGTEdUECjytlDGrB6W5nm,Fencewalk,1973,0.168,0.577,332400,0.568,0.0616,0.0801,-11.875,Mode.MAJOR,0.0536,0.963,36
1P1drZCIcMAqTMbO2DzImN,Really Doe - Remastered,1994,0.00993,0.773,268160,0.737,0.0234,0.295,-8.314,Mode.MAJOR,0.146,0.691,40
2CzYQ2ktwSMGnA5ypH2a8w,Tender Is the Night,1983,0.173,0.764,293000,0.529,0.000164,0.0985,-7.157,Mode.MAJOR,0.0329,0.703,49
2mIa7yUMZyREQXxrRpkefS,My Special Angel,1968,0.537,0.326,180419,0.543,0.0,0.184,-10.335,Mode.MAJOR,0.0379,0.39,41
1xVOttVNT27FBTD8iHjOfU,It's Only Make Believe,1959,0.86,0.461,132027,0.466,2.76e-05,0.135,-9.627,Mode.MAJOR,0.0598,0.251,57
1AEYT6VxrxXPMoQUxsY0E4,Headstrong,2003,0.000172,0.492,285570,0.896,2.78e-06,0.189,-5.819,Mode.MINOR,0.117,0.534,75
1000nHvUdawXuUHgBod4Wv,Panini,2019,0.342,0.703,114893,0.594,0.0,0.123,-6.146,Mode.MINOR,0.0752,0.475,70
69HICMmc6nNLucAx3aJX9M,Thank God I'm a Country Boy,1975,0.785,0.762,193093,0.537,0.000669,0.0551,-9.58,Mode.MAJOR,0.0478,0.958,67
1dJuteDIOkGfDSN7zPkzNv,She Don't Use Jelly,1995,0.207,0.33,222279,0.556,4.39e-05,0.315,-11.494,Mode.MAJOR,0.0796,0.506,56
